q,a1,a2,a3,a4,a5,a6,a7
Name A Number That’s Associated With Being Lucky Or Unlucky,7,13,3,,,,
Name The Most Used Piece Of Furniture In A House.,Couch,Bed,Arm Chair,,,,
Name A Job In Which An Attractive Person Probably Makes Better Tips.,Server,Exotic Dancer,Bartender,,,,
Name A Prop used By Tap Dancers,Cane,Top Hat,Baton,,,,
"If You Drew Homer Simpson’s Name In A Secret Santa Exchange, What Would You Buy Him?",Beer,Donuts,Bowling Ball,,,,
Name Something You Do To An Item Before Giving It As A Gift,Wrap It,Remove Price Tag,Buy It,,,,
Name A Place Where It Might Be Romantic To Get Stranded With Your Partner,Island/Beach,Park,Cabin/Lodge,,,,
Name A Good Gift For Someone Who Is Always Late.,Watch,Alarm Clock,Calendar,,,,
Why Might A Family Move Into A Bigger House?,Family Has Grown,Want More Space,Can Afford More,,,,
"Other Than Movie Tickets, Name Something A Crowded Movie Theatre Might Run Out Of.",Popcorn,Space,Candy,,,,
Name Something You Should Probably Book Ahead Of Time If You’re Going On Vacation.,Hotel,Flight,Car,,,,
Name Something People Bet On,Horses Races,Sports,Card Games,,,,
Name A Character Who’s Known For Almost Ruining Christmas.,Grinch,Ebenezer Scrooge,Charlie Brown,,,,
Name A City Where You’d Hate The Long Commute To Work.,New York City,Los Angeles,Chicago,,,,
Name Something That’s Not Allowed In Some Hotels.,Pets,Smoking,Children,,,,
Name Something That Might Happen If You Eat While Driving.,Crash,Spill,Choke,,,,
"If Adults Trick Or Treated, What Might They Request Instead Of Candy?",Money,Alcohol,Cigarettes,,,,
Name A Word Or Phrase Used For Cooking On The Grill,Barbecue,Grilling,Cookout,,,,
What Might You Ask To Borrow From Someone At The Laundromat?,Detergent,Change,Dryer Sheets,,,,
Which Festive Holiday Was More Fun When You Were A Kid?,Christmas,Halloween,Easter,,,,
What Would You Be Surprised To Hear That A Married Couple Does Separately?,Sleep,Vacation,Eat Meals,,,,
Name A Reason You Wouldn’t Want To Live Next Door To A Movie Star,Paparazzi,Loud Parties,Fans,,,,
"On A Resume, What Might A Person Claim They Can Do Quickly?",Type,Learn,Finish Tasks,,,,
Name Something That Parent Of A Baby Is Constantly Listening For,Crying,Breathing,First Words,,,,
"Other Than Boxing, Name A Sport In Which You’re Likely To See Athletes Fighting",Hockey,Wrestling,Football,,,,
Name Something Nice You Get Sick Of Saying During The Holidays,Merry Christmas,Thank You,Great To See You,,,,
Name A Place Where People Wear Very Little Clothing During The Winter,Vacation,Home,Gym,,,,
